Geo Point;Geo Shape;index;ecole;rne;num;libelle;codsti;codpos;tel;direction;secteur_action_scolaire;eclair
43.5829533818,1.42639738685;"{""type"": ""MultiPoint"", ""coordinates"": [[1.426397386846141, 43.58295338184085]]}";6;Becanne Maurice;0311025W;0085;AV DE MURET;4848046;31300;05 61 42 92 92;MME FOURTEAU SYLVIE;OUEST;
43.58950039,1.42737157295;"{""type"": ""MultiPoint"", ""coordinates"": [[1.427371572953566, 43.58950039003531]]}";7;Benezet;0310162H;0037;RUE BENEZET;771228;31300;05 62 25 21 15;MME LE BAIL MARIE-LAURE;OUEST;
43.5881463516,1.42090314609;"{""type"": ""MultiPoint"", ""coordinates"": [[1.420903146094662, 43.588146351581464]]}";9;Billières Etienne;0312272B;0056;RUE JACQUES GAMELIN;3056060;31100;05 61 40 29 81;MME FALLOU CAROLINE;OUEST;REP+
43.6169354772,1.45429770543;"{""type"": ""MultiPoint"", ""coordinates"": [[1.454297705430024, 43.61693547716189]]}";11;Bonnefoy;0310992K;0018;RUE DU FAUBOURG BONNEFOY;2716831;31500;05 61 48 77 28;MME LAGADEC FLORENCE;EST;
43.5980220348,1.45498952437;"{""type"": ""MultiPoint"", ""coordinates"": [[1.45498952436648, 43.59802203481292]]}";15;Calvinhac;0312226B;0008B;RUE JACQUES LABATUT;3724846;31000;05 61 62 88 82;MME AIZPURU MARIE JOSEE;NORD;
43.6206451724,1.44336910477;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443369104769916, 43.62064517239741]]}";20;Curie Marie & Pierre;0312427V;0003;RUE BAPTISTE MARCET;4355200;31200;05 61 13 01 33;MME ARACIL SOPHIE;NORD;REP
43.5808610406,1.43824558853;"{""type"": ""MultiPoint"", ""coordinates"": [[1.438245588532522, 43.58086104064056]]}";22;Daste André;0312079S;0004;AV DE LATTRE DE TASSIGNY;3945656;31400;05 61 52 30 60;MME BRUNET ALEXANDRA;EST;REP
43.6073150804,1.43020780493;"{""type"": ""MultiPoint"", ""coordinates"": [[1.430207804934196, 43.6073150803601]]}";33;Falguière;0310916C;0002;RUE D ARTAGNAN;297654;31000;05 61 21 37 46;MME MASCLOUX ANNE;NORD;
43.6329647791,1.4333616714;"{""type"": ""MultiPoint"", ""coordinates"": [[1.433361671403053, 43.63296477907741]]}";35;Ferry Jules;0312110A;0109;AV DE FRONTON;3001610;31200;05 61 47 58 83;MR MERY MAURICE;NORD;REP
43.574022647,1.45377686237;"{""type"": ""MultiPoint"", ""coordinates"": [[1.453776862367176, 43.57402264696461]]}";52;Julien Jules;0312273C;0011;AV DES ECOLES JULES JULIEN;2518456;31400;05 61 52 45 88;MME FRAU SILVANA;EST;
43.603206537,1.45592677413;"{""type"": ""MultiPoint"", ""coordinates"": [[1.455926774126704, 43.60320653703214]]}";66;Michelet;0312077P;0005;BD JULES MICHELET;4624002;31000;05 61 62 01 19;MME DESURMONT AURELIE;NORD;
43.6205528684,1.43428255182;"{""type"": ""MultiPoint"", ""coordinates"": [[1.434282551824928, 43.620552868362076]]}";74;Nougaro;0310917D;0059;RUE DU GENERAL BOURBAKI;3148820;31200;05 61 22 85 63;MME CORRIHONS MURIEL;NORD;
43.5747617571,1.42426632845;"{""type"": ""MultiPoint"", ""coordinates"": [[1.424266328453772, 43.57476175709474]]}";75;Oustalous (Les);0311024V;0065;RTE D ESPAGNE;2624010;31100;05 61 44 92 81;MME GANGLOFF DELPHINE;OUEST;
43.5954761929,1.42442990873;"{""type"": ""MultiPoint"", ""coordinates"": [[1.424429908728688, 43.59547619286673]]}";79;Patte d'Oie;0312197V;0044;RUE DU TCHAD;6793649;31300;05 61 42 00 14;MME BACH NICOLE;OUEST;
43.6151655614,1.42237562305;"{""type"": ""MultiPoint"", ""coordinates"": [[1.422375623052344, 43.615165561371185]]}";80;Ponts Jumeaux;0312852Ge;0050;RUE DAYDE;2176044;31200;05 31 22 91 01;MME SCHULLER BRIGITTE;NORD;
43.6366496406,1.44153136493;"{""type"": ""MultiPoint"", ""coordinates"": [[1.441531364928577, 43.63664964064959]]}";82;Renan Ernest;0312178Z;0007;CHE D AUDIBERT;364857;31200;05 61 47 82 11;MME CARCENAC SOPHIE;NORD;REP+
43.5812869339,1.39848733394;"{""type"": ""MultiPoint"", ""coordinates"": [[1.398487333943913, 43.58128693393477]]}";96;Vergers (Les);0312028L;0001B;IMP DES VERGERS;8361142;31100;05 61 44 97 50;MME AZEMA MURIEL;OUEST;REP
43.6665784172,1.43539283536;"{""type"": ""MultiPoint"", ""coordinates"": [[1.435392835355586, 43.66657841719622]]}";27;Dortis;0312977Te;0017;CHE DE DORTIS;2390457;31200;05 34 24 50 27;;NORD;
43.62971376,1.43386491486;"{""type"": ""MultiPoint"", ""coordinates"": [[1.433864914863379, 43.62971375996557]]}";3;Aubrac Lucie;0312750We;0038;AV DE FRONTON;3001610;31200;05 61 13 99 38;MR MIQUEL FABIEN;NORD;
43.6413787431,1.45467201135;"{""type"": ""MultiPoint"", ""coordinates"": [[1.4546720113497, 43.64137874309111]]}";12;Borderouge;0312707Z;0006;RUE ANTOINE PASTRE;8452239;31200;05 61 26 27 02;MME GUILLOU ANNE CLAUDE;NORD;
43.6185244788,1.39831641301;"{""type"": ""MultiPoint"", ""coordinates"": [[1.398316413013646, 43.618524478756626]]}";16;Château d'Ancely;0312111B;0004;ALL DU VIVARAIS;7308818;31300;05 61 49 25 86;MME GATEAU VIRGINIE;NORD;
43.6366383119,1.46390975033;"{""type"": ""MultiPoint"", ""coordinates"": [[1.463909750331867, 43.636638311925466]]}";21;Cuvier;0310970L;0135;RTE D ALBI;83241;31200;05 61 48 96 36;MME BUSQUET ESTELLE;NORD;
43.603086388,1.4506915177;"{""type"": ""MultiPoint"", ""coordinates"": [[1.450691517699377, 43.60308638796175]]}";38;Fourtanier Alexandre;0311008C;0051;RUE DU REMPART ST ETIENNE;5824046;31000;05 61 21 14 22;MR LOFFICIAL DIDIER;NORD;
43.5981789491,1.41650569915;"{""type"": ""MultiPoint"", ""coordinates"": [[1.416505699154057, 43.59817894908628]]}";42;Godolin Peire;0311782U;0013;RUE VINCENT SCOTTO;8408124;31300;05 61 49 15 29;MR JOCKIN FABRICE;OUEST;
43.5727731148,1.40621523766;"{""type"": ""MultiPoint"", ""coordinates"": [[1.406215237660018, 43.57277311480576]]}";46;Héritier Françoise;0311645V;0003;CHEM ANDRE MESSAGER;4604801;31100;05 61 40 13 44;MME FAVA D ALBERT CAROLE;OUEST;REP+
43.5662862314,1.40245671435;"{""type"": ""MultiPoint"", ""coordinates"": [[1.402456714352285, 43.56628623141932]]}";47;Hugo Victor;0312196U;0003;IMP THEODORE RICHARD;5886403;31100;05 61 40 25 32;MME COUTENS VALERIE;OUEST;REP+
43.5772787968,1.43696790184;"{""type"": ""MultiPoint"", ""coordinates"": [[1.43696790184279, 43.577278796752516]]}";54;Lagrange Léo;0310960A;0039;ALL HENRI SELLIER;6572839;31400;05 61 52 21 13;MME SELFSICK NADINE;EST;REP
43.579004877,1.38522999813;"{""type"": ""MultiPoint"", ""coordinates"": [[1.38522999813037, 43.57900487702745]]}";60;Lesseps Ferdinand De;0312143L;0031;CHE DES PRADETTES;5561651;31100;05 61 40 57 83;MME OLIE OLIVIA;OUEST;
43.5934312138,1.43086243452;"{""type"": ""MultiPoint"", ""coordinates"": [[1.430862434518407, 43.59343121377292]]}";68;Molière;0312078R;0034;RUE SAINTE LUCIE;6304027;31300;05 61 42 99 65;MME MARIE JOSEPH NICOLE;OUEST;
43.5453229043,1.45354149857;"{""type"": ""MultiPoint"", ""coordinates"": [[1.453541498573324, 43.5453229042841]]}";78;Pastel (Le);0311641R;0002;CHE D ESCALLES;2604809;31400;05 62 88 08 79;MME LE COADOU HELENE;EST;
43.5668817978,1.49735063813;"{""type"": ""MultiPoint"", ""coordinates"": [[1.497350638134852, 43.56688179782262]]}";41;Georges Mailhos;0312975Re;0002;RUE CLAIRE ROMAN;8441700;31400;05 34 24 50 14;;EST;
43.6551306812,1.43382076179;"{""type"": ""MultiPoint"", ""coordinates"": [[1.433820761793811, 43.6551306811553]]}";1;Alphand;031ALELEM;0005;IMP JEAN ALPHAND;115256;31200;05 62 84 32 30;MR PENA CHRISTOPHE;NORD;
43.6006672407,1.48538364598;"{""type"": ""MultiPoint"", ""coordinates"": [[1.485383645981417, 43.60066724074471]]}";17;Château de l'Hers;0312598F;0008;RUE CLAUDIUS ROUGENET;8425213;31500;05 61 34 94 68;MME BERNARDIN ISABELLE;EST;
43.5735735264,1.4024247064;"{""type"": ""MultiPoint"", ""coordinates"": [[1.402424706396401, 43.57357352641086]]}";23;Daurat Didier;0311693X;0019;RUE JEAN GILLES;3198424;31100;05 61 40 11 38;MR DUBOIS GAELLE;OUEST;REP+
43.560583891,1.39913522669;"{""type"": ""MultiPoint"", ""coordinates"": [[1.399135226687609, 43.56058389104651]]}";28;Dottin Paul;0311305A;0010;RUE DU RECTEUR DOTTIN;8346726;31100;05 61 40 25 68;MME BOUSQUET ESTELLE;OUEST;REP+
43.5892692418,1.44583028069;"{""type"": ""MultiPoint"", ""coordinates"": [[1.445830280690475, 43.58926924179565]]}";29;Dupont Pierre;0310161G;0101;GRANDE-RUE SAINT MICHEL;6332818;31400;05 61 52 47 05;MME FOURCADE MARIE SYLVIE;EST;
43.5960827215,1.44366133245;"{""type"": ""MultiPoint"", ""coordinates"": [[1.443661332446935, 43.59608272151346]]}";31;Fabre;0311880A;0009;RUE SAINT REMESY;6374403;31000;05 61 52 57 59;MR BREIL PHILIPPE;NORD;
43.5772548779,1.48864976269;"{""type"": ""MultiPoint"", ""coordinates"": [[1.488649762690443, 43.57725487794375]]}";45;Guillaumet Henri;0312153X;0030;CHE DE BITET;899227;31400;05 61 20 03 07;MME RUAUDEL SARAH;EST;
43.5890692022,1.45138903793;"{""type"": ""MultiPoint"", ""coordinates"": [[1.451389037926785, 43.58906920216613]]}";50;Jaurès Jean;0312294A;0021;AV FRIZAC;2992030;31400;05 61 52 83 06;MME CHARON CADREILS;EST;
43.6174702637,1.47168144531;"{""type"": ""MultiPoint"", ""coordinates"": [[1.471681445312581, 43.61747026372765]]}";53;Juncasse (La);0312156A;0133;RUE LOUIS PLANA;5433652;31500;05 61 48 72 82;MME ROUDET MARION;EST;
43.6020721826,1.43894195205;"{""type"": ""MultiPoint"", ""coordinates"": [[1.438941952046282, 43.602072182597894]]}";55;Lakanal;0312292Y;0017;PL DE LA DAURADE;2169647;31000;05 61 21 43 39;MME ENNESSER AURORE;NORD;
43.6286296601,1.46064250447;"{""type"": ""MultiPoint"", ""coordinates"": [[1.460642504473118, 43.62862966005005]]}";57;Lapujade;0311089R;0026;RTE D ALBI;83241;31200;05 61 48 60 87;MME DRONEAU BERNADETTE;NORD;
43.5976767753,1.43486815551;"{""type"": ""MultiPoint"", ""coordinates"": [[1.434868155508791, 43.59767677529502]]}";59;Lespinasse;0311021S;0003;RUE DU CHAIREDON;1596855;31300;05 61 42 86 31;MR LAGLEYSE SEBASTIEN;OUEST;
43.5957845209,1.47826870751;"{""type"": ""MultiPoint"", ""coordinates"": [[1.478268707510161, 43.59578452086297]]}";63;Macé Jean;0312154Y;0003;CHE DE DUROUX;2496011;31500;05 61 20 26 58;MME LIBERATOIRE VALERIE;EST;
43.6299999863,1.44919200374;"{""type"": ""MultiPoint"", ""coordinates"": [[1.449192003737622, 43.62999998633544]]}";64;Maourine (La);0312673M;0013;AV M BOURGES MAUNOURY;8439231;31100;05 61 99 94 10;MR LE PICARD JEAN MICHEL;NORD;
43.6267289698,1.4682112977;"{""type"": ""MultiPoint"", ""coordinates"": [[1.468211297704148, 43.62672896975973]]}";67;Michoun;0312276F;0049;CHE MICHOUN;4627236;31500;05 61 48 83 15;MR SOULIE PATRICE;EST;
43.5739864778,1.48460815646;"{""type"": ""MultiPoint"", ""coordinates"": [[1.484608156461925, 43.573986477754964]]}";70;Montaudran;0311923X;0001;IMP GASTON GENIN;8356908;31400;05 61 20 94 02;MME GINESTE PAULINE;EST;
43.6231992568,1.43014789754;"{""type"": ""MultiPoint"", ""coordinates"": [[1.430147897540749, 43.62319925681169]]}";71;Musset Alfred De;0312151V;0005;RUE DU GENERAL HOCHE;3161624;31200;05 61 47 64 90;MME AMARE ISABELLE;NORD;REP
43.6400104621,1.45020187382;"{""type"": ""MultiPoint"", ""coordinates"": [[1.450201873819664, 43.640010462127336]]}";72;Niboul;0312871Ce;0009;RUE ARRIA LY;9000173;31200;05 34 30 65 40;MVICENTE ANNE;NORD;
43.5757102579,1.4132449805;"{""type"": ""MultiPoint"", ""coordinates"": [[1.413244980496751, 43.57571025794365]]}";77;Papus;0312542V;0046;ALL DE GUYENNE;3392004;31100;05 61 40 27 84;MME POMMEL PERLETTO MARION;OUEST;REP+
43.6166626512,1.40879375959;"{""type"": ""MultiPoint"", ""coordinates"": [[1.408793759592796, 43.616662651237824]]}";88;Sept Deniers;0312080T;0110;RTE DE BLAGNAC;912031;31200;05 61 57 02 85;MR CASSAGNES GILLES;NORD;
43.607347438,1.47744263313;"{""type"": ""MultiPoint"", ""coordinates"": [[1.477442633131743, 43.60734743796457]]}";90;Soupetard;0312174V;0037;RUE DE LA SOLIDARITE;6649612;31500;05 61 80 88 78;MME CRAYSSAC ANNE;EST;
43.5722220344,1.39443469044;"{""type"": ""MultiPoint"", ""coordinates"": [[1.394434690438584, 43.572222034369965]]}";94;Triolet Elsa;0312107X;0004B;RUE EMILE PELLETIER;8371018;31100;05 61 40 97 12;MME LEGRAND SONIA;OUEST;REP+
43.5683051647,1.40266985406;"{""type"": ""MultiPoint"", ""coordinates"": [[1.402669854061623, 43.56830516471219]]}";95;Veil Simone;0312323G;0005;CHEMINEMENT ROBERT CAMBERT;4067248;31100;05 61 22 36 13;MME VERGOTE BENEDICTE;OUEST;REP
43.6092943628,1.42136735903;"{""type"": ""MultiPoint"", ""coordinates"": [[1.42136735903258, 43.60929436282192]]}";2;Amidonniers;0312088B;0123;ALL DE BRIENNE;1190413;31000;05 61 21 68 40;MR DARCHE CHRISTOPHE;NORD;
43.5601449259,1.39829105865;"{""type"": ""MultiPoint"", ""coordinates"": [[1.3982910586497, 43.56014492594193]]}";4;Bastide Georges;0312334U;0008;RUE DU RECTEUR DOTTIN;8346726;31100;05 61 40 24 33;MR COUDREAU FABRICE;OUEST;REP+
43.602383798,1.46587773182;"{""type"": ""MultiPoint"", ""coordinates"": [[1.465877731815201, 43.60238379799471]]}";10;Bonhoure;0310929S;0020B;PL MARIUS PINEL;5408034;31500;05 61 80 95 00;MME TALEC ISABELLE;EST;
43.6005993814,1.46741985696;"{""type"": ""MultiPoint"", ""coordinates"": [[1.467419856955276, 43.600599381438414]]}";18;Chaubet Jean;0310928R;0112;AV CAMILLE PUJOL;5651228;31500;05 61 80 68 55;MME CHARRIERE FRANCOISE;EST;
43.5793413211,1.40918225521;"{""type"": ""MultiPoint"", ""coordinates"": [[1.409182255213409, 43.57934132111128]]}";32;Falcucci Clément;0312347H;0005;IMP DU BACHAGA BOUALAM;8388311;31100;05 61 40 27 92;MR OSWALD SEBASTIEN;OUEST;REP+
43.5727930831,1.40536258336;"{""type"": ""MultiPoint"", ""coordinates"": [[1.405362583364031, 43.57279308306144]]}";34;Faucher Daniel;0311604A;0005;CHEM ANDRE MESSAGER;4604801;31100;05 61 40 36 32;MME FOURNIE VALERIE;OUEST;REP+
43.5988735832,1.37068533893;"{""type"": ""MultiPoint"", ""coordinates"": [[1.370685338931232, 43.59887358322333]]}";36;Fleurance;0312680V;135;CHE DE TOURNEFEUILLE;6915241;31300;05 34 60 54 03;MR DANIEL AURELIEN;OUEST;
43.5848225357,1.46179817283;"{""type"": ""MultiPoint"", ""coordinates"": [[1.461798172832453, 43.58482253571191]]}";39;France Anatole;0312152W;0021;BD DE LA MEDITERRANEE;4556809;31400;05 61 25 05 08;MME KELLER JOSETTE;EST;
43.5672685475,1.3721829015;"{""type"": ""MultiPoint"", ""coordinates"": [[1.372182901498191, 43.56726854746715]]}";44;Guilhermy;0312870Be;0007;RUE DE LAS BRUGUES;8432120;31100;05 34 61 72 33;M. GARINOT DAVID;OUEST;
43.5756303772,1.41807478609;"{""type"": ""MultiPoint"", ""coordinates"": [[1.418074786091485, 43.57563037723004]]}";49;Jacquier Maurice;0312324H;0007;RUE DU POITOU;5462433;31100;05 61 40 31 08;MME BEZY CORINNE;OUEST;REP
43.6482236494,1.43289723351;"{""type"": ""MultiPoint"", ""coordinates"": [[1.432897233505673, 43.64822364936385]]}";56;Lalande;0310921H;0239;AV DE FRONTON;3001610;31200;05 61 47 51 43;MME FERRO JOELLE;NORD;REP+
43.5887408153,1.37813058875;"{""type"": ""MultiPoint"", ""coordinates"": [[1.378130588746773, 43.58874081525237]]}";58;Lardenne;0312293Z;0020;CHE DE ROCAMADOUR;5958452;31100;05 61 49 26 79;MR DELBERT JEAN FRANCOIS;OUEST;
43.6081460505,1.37756811802;"{""type"": ""MultiPoint"", ""coordinates"": [[1.377568118017214, 43.608146050502526]]}";62;Littre;0312155Z;0002;PL BERTIER;825627;31300;05 61 49 23 53;MME KEGRAND ANNE;OUEST;REP
43.6175548105,1.45967544828;"{""type"": ""MultiPoint"", ""coordinates"": [[1.459675448284077, 43.61755481046279]]}";65;Marengo-Périole;0310934X;0098;RUE DE PERIOLE;5315223;31500;05 61 48 70 39;MME MONRIBOT SORAYA;EST;
43.6108305025,1.44156917872;"{""type"": ""MultiPoint"", ""coordinates"": [[1.441569178717667, 43.61083050248608]]}";73;Nord;0310952S;0013;BD D ARCOLE;233624;31000;05 61 21 46 71;MME DURET CHRISTINE;NORD;
43.5971050579,1.40124665939;"{""type"": ""MultiPoint"", ""coordinates"": [[1.40124665939134, 43.59710505792957]]}";76;Pagnol Marcel;0311016L;0007;RUE ERNEST DUFER;8343553;31300;05 61 49 34 04;MME ROBYN MELANIE;OUEST;REP+
43.5748831431,1.46414732194;"{""type"": ""MultiPoint"", ""coordinates"": [[1.46414732194384, 43.57488314314949]]}";81;Rangueil;0312177Y;0016;RUE CLAUDE DE FORBIN;2896046;31400;05 61 52 35 07;MR BARDOU CHRISTIAN;EST;
43.5809321756,1.44941315947;"{""type"": ""MultiPoint"", ""coordinates"": [[1.449413159467609, 43.58093217560179]]}";84;Ricardie;0310160F;0056;AV DE L URSS;7036843;31400;05 61 52 31 47;MME LIEUX PATRICIA;EST;
43.5843235877,1.40754960679;"{""type"": ""MultiPoint"", ""coordinates"": [[1.407549606791631, 43.58432358772329]]}";85;Ronsard;0310988F;0007B;RUE VESTREPAIN;7209600;31100;05 61 40 33 23;MME DIOP ISABELLE;OUEST;REP+
43.58099906,1.46183318649;"{""type"": ""MultiPoint"", ""coordinates"": [[1.461833186485291, 43.58099905999371]]}";87;Sauzelong;0311006A;0092;AV ALBERT BEDOUCE;704025;31400;05 61 52 92 80;MME AIZPURU MARIE JOSE;EST;
43.6071831752,1.44210793315;"{""type"": ""MultiPoint"", ""coordinates"": [[1.442107933145435, 43.607183175152024]]}";89;Sermet;0310950P;0071;RUE DU TAUR;6790415;31000;05 61 23 00 35;MR MAFFRE PASCAL;NORD;
43.583899474,1.48543658709;"{""type"": ""MultiPoint"", ""coordinates"": [[1.485436587088147, 43.583899473956215]]}";91;Terrasse (La);0311745D;0004;IMP EUGENE TRUTAT;8345410;31500;05 61 20 20 58;MME EDME CHRISTELLE;EST;
43.5503112477,1.38503518827;"{""type"": ""MultiPoint"", ""coordinates"": [[1.385035188271436, 43.550311247744375]]}";92;Tibaous (Les);0312679U;0007;RUE ALBERT CAROVIS;8454055;31100;05 34 57 98 33;MME LENTE BETTY;OUEST;
43.5841812902,1.39193078968;"{""type"": ""MultiPoint"", ""coordinates"": [[1.391930789680408, 43.58418129015246]]}";93;Tillion Germaine;0312943Fe;0061;AV JEAN BAYLET;9000400;31100;05 34 24 50 18;MR TOURNIER;OUEST;
43.5599848197,1.38794698755;"{""type"": ""MultiPoint"", ""coordinates"": [[1.387946987548745, 43.559984819738446]]}";86;Saint-Simon - Canto Laouzetto;031SIMELE;111;CHE CANTO LAOUZETTO;1404826;31100;;;OUEST;
43.6114558699,1.44787423489;"{""type"": ""MultiPoint"", ""coordinates"": [[1.447874234891523, 43.61145586993474]]}";5;Bayard / Matabiau;0310993L;0060;RUE MATABIAU;4492840;31000;05 61 62 35 11;MME BOREL MARIE LINE;NORD;
43.5596616051,1.3782664853;"{""type"": ""MultiPoint"", ""coordinates"": [[1.378266485298608, 43.55966160508695]]}";8;Bert Paul;0312402T;0004;CHE DE LIFFARD;4112006;31100;05 61 07 57 25;MME PARUS NICOLE;OUEST;
43.5774579757,1.39552146384;"{""type"": ""MultiPoint"", ""coordinates"": [[1.395521463840501, 43.57745797571909]]}";13;Bourliaguet Léonce;0311961N;0073;RUE ARISTIDE MAILLOL;8358112;31100;05 61 41 00 33;MME FOUGEROUSE CATHERINE;OUEST;REP
43.5647158998,1.41188003668;"{""type"": ""MultiPoint"", ""coordinates"": [[1.411880036677416, 43.56471589984335]]}";14;Buffon;0312227C;0006;IMP DES GLIERES;8395014;31100;05 62 14 06 23;MME FIGUE ELISABETH;OUEST;REP+
43.5820803422,1.47601297885;"{""type"": ""MultiPoint"", ""coordinates"": [[1.47601297884932, 43.58208034224613]]}";19;Courrège;0312176X;0165;AV ANTOINE DE ST EXUPERY;6188842;31400;05 61 20 03 05;MR MEUNIER GILLES;EST;
43.5781555075,1.41394263428;"{""type"": ""MultiPoint"", ""coordinates"": [[1.413942634281663, 43.57815550754792]]}";24;Dauriac Sylvain;0312411C;0041;RUE PAUL LAMBERT;3824054;31100;05 61 40 24 15;MR PEYRONNET JEAN LOUIS;OUEST;REP+
43.6009790604,1.40559216371;"{""type"": ""MultiPoint"", ""coordinates"": [[1.405592163711674, 43.600979060425246]]}";25;De Gaulle-Anthonioz;0312921Ge;0007;RUE MARIE DE GOURNAY;9000375;31300;05 31 22 92 89;MME BUSSON LAETITIA;OUEST;
43.6541649866,1.43976149944;"{""type"": ""MultiPoint"", ""coordinates"": [[1.439761499442563, 43.65416498664872]]}";26;De Gouges Olympe;0312722Re;0012;RUE VIRGINIA WOOLF;9000113;31200;05 61 47 87 14;MME PEREZ CHLOE;NORD;
43.5809745228,1.38081857468;"{""type"": ""MultiPoint"", ""coordinates"": [[1.380818574675497, 43.58097452281399]]}";30;Dupouy Gaston;0312320D;0008;RUE DU PR GASTON DUPOUY;8410654;31100;05 61 44 81 83;MME DELPY SOPHIE;OUEST;
43.6007785324,1.41690986537;"{""type"": ""MultiPoint"", ""coordinates"": [[1.416909865374099, 43.60077853241266]]}";37;Fontaine Bayonne;0311015K;0014;RUE DUFAUR DE PIBRAC;2425645;31300;05 61 49 38 81;MME SERRES OLIVIER;NORD;
43.6040857446,1.4088581138;"{""type"": ""MultiPoint"", ""coordinates"": [[1.408858113798437, 43.60408574456885]]}";40;Gais Pinsons (Les);0311601X;0002;RUE DES GAIS PINSONS;3040022;31300;05 61 49 21 57;MME CABOS ELIANE;OUEST;
43.6495583941,1.45327015234;"{""type"": ""MultiPoint"", ""coordinates"": [[1.453270152340353, 43.64955839407254]]}";43;Grand Selve;0310975S;0034;RUE FENELON;2739205;31200;05 61 47 56 38;MME MEGI AURORE;NORD;
43.5793273236,1.41035321993;"{""type"": ""MultiPoint"", ""coordinates"": [[1.41035321992764, 43.57932732362164]]}";48;Hyon Georges;0310987E;0001;IMP DU BACHAGA BOUALAM;8388311;31100;05 61 40 23 51;MME FORESTELLOT CELINE;OUEST;REP+
43.6138452543,1.46780276991;"{""type"": ""MultiPoint"", ""coordinates"": [[1.467802769909187, 43.61384525430416]]}";51;Jolimont;0312173U;0014;AV HENRI GUILLAUMET;3372803;31500;05 61 48 76 06;MME NEDJARI SAMIA;EST;
43.596845598,1.46347736815;"{""type"": ""MultiPoint"", ""coordinates"": [[1.463477368153292, 43.59684559799937]]}";61;Leygue Armand;0311010E;0020;RUE LUCIEN CASSAGNE;1484833;31500;05 61 80 03 36;MME RENAUDIN MICHEL;EST;
43.6088374071,1.45774157669;"{""type"": ""MultiPoint"", ""coordinates"": [[1.457741576686656, 43.60883740714916]]}";69;Monge;0311569M;0012;RUE SOULT;6678454;31500;05 61 48 91 43;MME FORMICULA CINDY;EST;
43.5504187457,1.45773692395;"{""type"": ""MultiPoint"", ""coordinates"": [[1.457736923952168, 43.550418745665624]]}";97;Vernant;0312769S;0001;RUE RENE GOSCINNY;9000118;31400;05 61 21 58 77;MME LAUGIER DELPHINE;EST;
43.58135093,1.39195257013;"{""type"": ""MultiPoint"", ""coordinates"": [[1.391952570126055, 43.581350930047776]]}";98;Viollet-le-Duc;0312108Y;0023;RUE EUGENE VIOLLET LE DUC;8376619;31100;05 61 40 98 40;MR BELON NICOLAS;OUEST;
43.6412020505,1.44690393836;"{""type"": ""MultiPoint"", ""coordinates"": [[1.446903938363272, 43.641202050469374]]}";99;Zay Jean;0312792Se;0023;RUE DURAND;8445740;31200;05 34 24 52 86;MELLE LENFANT MURIEL;NORD;
